0.0	3.83
3.87	7.8
8.1	11.09
11.11	13.78
13.69	14.4
15.24	18.78
18.79	21.01
21.33	22.0
22.26	23.31
23.78	24.54
24.59	27.76
28.13	34.57
34.94	35.62
35.67	38.45
39.02	39.75
39.87	46.5
46.68	47.42
47.63	51.41
51.51	53.22
53.49	54.16
55.01	55.65
55.84	56.67
56.71	58.47
58.92	59.62
60.11	62.24
62.63	66.32
66.91	67.65
68.32	77.05
77.16	77.9
81.81	86.79
86.8	90.69
90.81	91.54
91.46	93.34
93.4	94.13
94.24	95.33
95.48	97.28
97.56	99.47
99.46	100.15
100.08	101.21
101.37	102.09
102.1	103.39
103.46	104.14
104.14	105.37
105.29	105.97
106.07	108.01
108.3	110.15
110.28	112.22
112.31	114.32
114.26	115.66
115.59	116.3
116.28	118.13
118.08	119.45
119.87	121.18
121.47	122.15
122.11	123.78
123.75	124.44
124.61	125.57
125.74	128.96
129.13	129.83
129.92	131.3
131.51	132.19
132.21	137.74
137.77	138.49
139.05	144.24
144.28	144.99
145.47	154.84
154.81	155.51
155.96	156.56
156.54	158.35
158.27	163.9
163.94	166.02
166.38	167.12
168.29	173.36
174.16	177.02
177.63	178.23
178.16	181.55
181.46	183.65
183.66	184.36
184.28	187.77
188.24	189.18
189.24	192.16
192.25	192.93
193.16	197.27
197.9	206.35
206.74	207.48
207.7	224.46
224.62	226.53
226.49	228.13
228.73	229.87
230.23	230.83
231.43	242.09
242.57	243.25
243.49	246.73
246.66	255.57
255.68	256.36
256.83	266.31
266.22	266.9
266.99	276.81
276.93	277.65
277.93	279.92
280.05	287.25
287.42	288.16
288.34	288.95
288.93	297.15
297.16	297.88
297.87	302.76
303.47	304.19
304.24	312.04
312.26	312.98
313.2	320.88
321.01	327.13
327.29	328.04
328.06	333.72
333.79	338.21
338.2	338.98
339.53	347.46
347.59	348.29
348.35	350.82
351.27	351.98
351.95	359.07
359.47	365.09
365.09	365.79
365.86	368.24
368.69	369.42
370.62	371.29
371.92	372.72
372.7	380.67
380.98	387.4
387.5	393.52
393.95	394.71
394.75	397.78
397.7	404.31
404.29	414.08
416.07	416.97
416.89	421.45
421.48	422.23
422.52	423.83
424.02	424.71
424.83	427.24
427.34	428.96
428.97	429.67
429.74	435.17
435.58	437.97
437.89	442.96
443.15	447.11
447.36	449.08
449.04	449.72
450.6	457.21
457.26	457.97
457.98	464.4
465.25	470.98
471.04	472.52
472.81	477.85
478.14	485.79
485.83	494.22
494.23	495.49
495.62	501.47
502.17	506.44
506.78	507.45
507.83	515.49
515.92	516.62
517.26	524.17
524.13	524.88
524.89	531.57
531.68	532.36
532.34	537.67
537.89	543.52
543.46	544.18
544.2	547.66
547.61	548.29
548.35	552.5
552.46	553.71
554.13	555.28
555.56	562.67
562.76	563.88
563.9	572.13
572.15	577.59
577.54	579.0
579.72	580.46
580.62	597.16
597.77	598.37
598.29	603.2
603.7	606.99
607.27	608.01
608.33	615.9
615.95	616.98
617.09	619.52
619.6	625.42
625.59	626.35
626.45	630.87
631.19	631.9
631.92	634.54
634.49	646.01
646.07	646.79
646.93	649.03
649.09	659.16
659.33	673.91
673.93	674.61
674.71	686.43
686.62	690.32
691.3	691.98
691.93	701.68
702.0	706.56
707.06	717.3
717.59	726.4
726.36	738.59
738.62	739.35
